kategorie,frage,option_1,option_2,option_3,option_4,richtige_antwort,erklaerung
PC Grundlagen,Was bedeutet USB?,Universal Serial Bus,Unified Serial Bus,Universal System Bus,Unified System Bus,Universal Serial Bus,USB ist ein Standard für Verbindungen zwischen Computern und Peripheriegeräten.
PC Grundlagen,Was ist eine SSD?,Ein Speichergerät,Ein Netzwerkgerät,Ein Eingabegerät,Ein Ausgabegerät,Ein Speichergerät,Eine SSD (Solid State Drive) ist ein Speichergerät ohne bewegliche Teile.
PC Grundlagen,Welches dieser Geräte ist kein Eingabegerät?,Tastatur,Maus,Scanner,Monitor,Monitor,Ein Monitor zeigt Informationen an und ist daher ein Ausgabegerät.
PC Grundlagen,Was bedeutet HTTP?,HyperText Transfer Protocol,HyperText Transmission Protocol,HighText Transfer Protocol,HighText Transmission Protocol,HyperText Transfer Protocol,HTTP ist das Protokoll für die Übertragung von Webseiten über das Internet.
PC Grundlagen,Was ist eine Firewall?,Ein Software- oder Hardware-Sicherheitssystem,Ein Speichermedium,Ein Eingabegerät,Ein Drucker,Ein Software- oder Hardware-Sicherheitssystem,Eine Firewall schützt Netzwerke vor unautorisierten Zugriffen.
PC Grundlagen,Was ist eine IP-Adresse?,Eine Hardwarekomponente,Eine eindeutige Netzwerkadresse,Ein Speichergerät,Ein Softwareprogramm,Eine eindeutige Netzwerkadresse,Eine IP-Adresse identifiziert eindeutig ein Gerät in einem Netzwerk.
PC Grundlagen,Welches der folgenden ist ein Open-Source-Betriebssystem?,Windows,macOS,Linux,DOS,Linux,Linux ist ein weit verbreitetes Open-Source-Betriebssystem.
PC Grundlagen,Was bedeutet ROM?,Read Only Memory,Random Access Memory,Read Often Memory,Read On Memory,Read Only Memory,ROM ist ein nicht-flüchtiger Speicher der dauerhaft Daten speichert.
PC Grundlagen,Was ist ein Proxy-Server?,Ein Webserver,Ein E-Mail-Server,Ein Vermittlungsserver,Ein Datenbankserver,Ein Vermittlungsserver,Ein Proxy-Server agiert als Vermittler zwischen einem Client und einem Zielserver.
PC Grundlagen,Was ist eine IP-Adresse?,Ein Netzwerkprotokoll,Eine Hardwarekomponente,Eine eindeutige Netzwerkadresse,Ein Speichermodul,Eine eindeutige Netzwerkadresse,Eine IP-Adresse identifiziert eindeutig ein Gerät in einem Netzwerk.
PC Grundlagen,Was ist ein Cookie im Internet?,Ein Textdokument,Ein kleines Datenpaket,Ein Bildformat,Ein Programmcode,Ein kleines Datenpaket,Ein Cookie speichert Informationen über Benutzeraktivitäten auf Webseiten.
PC Grundlagen,Welches dieser Geräte ist ein Ausgabegerät?,Tastatur,Scanner,Mikrofon,Monitor,Monitor,Ein Monitor zeigt visuelle Informationen an und ist daher ein Ausgabegerät.
PC Grundlagen,Was ist der Zweck einer Firewall?,Dateien komprimieren,Netzwerkverbindungen verwalten,Den Computer vor Malware schützen,Hardware reparieren,Den Computer vor Malware schützen,Antiviren-Software erkennt und entfernt schädliche Programme.
PC Grundlagen,Welches Protokoll wird für sichere Webkommunikation verwendet?,HTTP,FTP,SMTP,HTTPS,HTTPS,HTTPS ist die sichere Version von HTTP und wird für sichere Kommunikation über das Internet verwendet.
PC Grundlagen,Was ist ein Trojaner?,Eine Art von Software,Ein schädliches Programm,Ein Hardwarefehler,Ein Netzwerkprotokoll,Ein schädliches Programm,Ein Trojaner ist eine Art von Malware die sich als nützliches Programm tarnt.
PC Grundlagen,Was ist ein VPN?,Ein Hardwaregerät,Ein Sicherheitsprotokoll,Eine Netzwerkverbindung,Ein Speicherformat,Eine Netzwerkverbindung,Ein VPN ermöglicht eine sichere Verbindung über ein öffentliches Netzwerk.
PC Grundlagen,Was bedeutet BIOS?,Basic Input Output System,Binary Input Output System,Basic Information Output System,Best Integrated Operating System,Basic Input Output System,Das BIOS ist die Firmware die den Startvorgang eines Computers steuert.
PC Grundlagen,Was bedeutet URL?,Universal Resource Locator,Uniform Resource Locator,Uniform Resource Link,Universal Resource Link,Uniform Resource Locator,Eine URL ist die Adresse einer Ressource im Internet.
PC Grundlagen,Was bedeutet GUI?,Graphic User Interface,General User Interface,Graphical User Interface,General Utility Interface,Graphical User Interface,Eine GUI ermöglicht Benutzern die Interaktion mit dem Computer über grafische Symbole.
PC Grundlagen,Welcher Speicher ist nicht flüchtig?,RAM,Cache,ROM,Register,ROM,ROM speichert Daten dauerhaft auch wenn der Computer ausgeschaltet ist.
PC Grundlagen,Welches der folgenden ist ein Betriebssystem?,Microsoft Office,Adobe Photoshop,Linux,Java,Linux,Linux ist ein weit verbreitetes Open-Source-Betriebssystem.
PC Grundlagen,Was bedeutet HTTP?,HyperText Transfer Protocol,HyperText Transmission Protocol,HighText Transfer Protocol,HighText Transmission Protocol,HyperText Transfer Protocol,HTTP ist das Protokoll für die Übertragung von Webseiten über das Internet.
PC Grundlagen,Welcher Dateityp wird für komprimierte Dateien verwendet?,.txt,.exe,.zip,.jpg,.zip,Dateien mit der Endung .zip sind komprimierte Dateien die weniger Speicherplatz benötigen.
PC Grundlagen,Was bedeutet USB?,Universal Serial Bus,Unified Serial Bus,Universal System Bus,Unified System Bus,Universal Serial Bus,USB ist ein Standard für Verbindungen zwischen Computern und Peripheriegeräten.
PC Grundlagen,Welches der folgenden ist eine Programmiersprache?,HTML,HTTP,FTP,Python,Python,Python ist eine weit verbreitete Programmiersprache.
PC Grundlagen,Was ist eine IP-Adresse?,Eine Hardwarekomponente,Eine eindeutige Netzwerkadresse,Ein Speichergerät,Ein Softwareprogramm,Eine eindeutige Netzwerkadresse,Eine IP-Adresse identifiziert eindeutig ein Gerät in einem Netzwerk.
PC Grundlagen,Was ist ein Cookie im Internet?,Ein Textdokument,Ein kleines Datenpaket,Ein Bildformat,Ein Programmcode,Ein kleines Datenpaket,Ein Cookie speichert Informationen über Benutzeraktivitäten auf Webseiten.
PC Grundlagen,Welches dieser Geräte ist ein Eingabegerät?,Tastatur,Scanner,Mikrofon,Monitor,Tastatur,Eine Tastatur ermöglicht die Eingabe von Text und Steuerbefehlen in den Computer.
PC Grundlagen,Was ist ein Proxy-Server?,Ein Webserver,Ein E-Mail-Server,Ein Vermittlungsserver,Ein Datenbankserver,Ein Vermittlungsserver,Ein Proxy-Server agiert als Vermittler zwischen einem Client und einem Zielserver.
PC Grundlagen,Was ist eine Firewall?,Ein Software- oder Hardware-Sicherheitssystem,Ein Speichermedium,Ein Eingabegerät,Ein Drucker,Ein Software- oder Hardware-Sicherheitssystem,Eine Firewall schützt Netzwerke vor unautorisierten Zugriffen.
PC Grundlagen,Welcher Speicher ist flüchtig?,ROM,SSD,Harddisk,RAM,RAM,RAM verliert seine gespeicherten Daten wenn der Computer ausgeschaltet wird.
PC Grundlagen,Welches dieser Geräte ist ein Ausgabegerät?,Tastatur,Scanner,Mikrofon,Monitor,Monitor,Ein Monitor zeigt visuelle Informationen an und ist daher ein Ausgabegerät.
PC Grundlagen,Was bedeutet URL?,Universal Resource Locator,Uniform Resource Locator,Uniform Resource Link,Universal Resource Link,Uniform Resource Locator,Eine URL ist die Adresse einer Ressource im Internet.
PC Grundlagen,Welcher Dateityp wird für komprimierte Dateien verwendet?,.txt,.exe,.zip,.jpg,.zip,Dateien mit der Endung .zip sind komprimierte Dateien die weniger Speicherplatz benötigen.
PC Grundlagen,Was ist ein Byte?,Eine Einheit für die Bildschirmauflösung,Eine Speichereinheit,Ein Programm,Ein Fehlercode,Eine Speichereinheit,Ein Byte besteht aus 8 Bits und ist eine grundlegende Maßeinheit für digitale Informationen.
PC Grundlagen,Was ist ein Trojaner?,Eine Art von Software,Ein schädliches Programm,Ein Hardwarefehler,Ein Netzwerkprotokoll,Ein schädliches Programm,Ein Trojaner ist eine Art von Malware die sich als nützliches Programm tarnt.
PC Grundlagen,Was bedeutet BIOS?,Basic Input Output System,Binary Input Output System,Basic Information Output System,Best Integrated Operating System,Basic Input Output System,Das BIOS ist die Firmware die den Startvorgang eines Computers steuert.
Netzwerk,Was bedeutet die Abkürzung LAN?,Local Area Network,Large Area Network,Long Area Network,Local Access Network,Local Area Network,Ein LAN ist ein lokales Netzwerk das Geräte in einem begrenzten geografischen Bereich verbindet.
Netzwerk,Welches Protokoll wird hauptsächlich für den Versand von E-Mails verwendet?,FTP,HTTP,SMTP,IMAP,SMTP,SMTP (Simple Mail Transfer Protocol) wird zum Versand von E-Mails verwendet.
Netzwerk,Was ist eine IP-Adresse?,Eine Hardwarekomponente,Eine eindeutige Netzwerkadresse,Ein Speichergerät,Ein Softwareprogramm,Eine eindeutige Netzwerkadresse,Eine IP-Adresse identifiziert eindeutig ein Gerät in einem Netzwerk.
Netzwerk,Welches Protokoll wird verwendet um Webseiten zu laden?,FTP,HTTP,SMTP,SNMP,HTTP ,HTTP (HyperText Transfer Protocol) wird verwendet um Webseiten zu laden.
Netzwerk,Was ist ein Switch?,Ein Gerät zum Verbinden von Netzwerken,Ein Gerät zum Verbinden von Computern innerhalb eines Netzwerks,Ein Gerät zum Senden von E-Mails,Ein Gerät zum Drucken,Ein Gerät zum Verbinden von Computern innerhalb eines Netzwerks,Ein Switch verbindet mehrere Computer innerhalb eines Netzwerks.
Netzwerk,Was bedeutet die Abkürzung WAN?,Wide Area Network,World Area Network,Wide Access Network,Wireless Area Network,Wide Area Network,Ein WAN ist ein Weitverkehrsnetzwerk das große geografische Bereiche abdeckt.
Netzwerk,Welches Protokoll wird für den sicheren Datenaustausch über das Internet verwendet?,HTTP,HTTPS,FTP,TCP,HTTPS,HTTPS ist die sichere Version von HTTP und wird für sicheren Datenaustausch verwendet.
Netzwerk,Was ist ein Router?,Ein Gerät zur Verarbeitung von Texten,Ein Gerät zur Steuerung des Bildschirms,Ein Gerät zur Verbindung von Netzwerken,Ein Gerät zur Speicherung von Daten,Ein Gerät zur Verbindung von Netzwerken,Ein Router verbindet verschiedene Netzwerke miteinander.
Netzwerk,Was bedeutet die Abkürzung DNS?,Domain Network Service,Domain Name System,Digital Network System,Digital Name Service,Domain Name System,Das DNS (Domain Name System) wandelt Domainnamen in IP-Adressen um.
Netzwerk,Welches Protokoll wird für die Fernverwaltung von Computern verwendet?,HTTP,FTP,TELNET,DNS,TELNET,TELNET ermöglicht die Fernverwaltung von Computern.
Netzwerk,Was ist eine MAC-Adresse?,Eine eindeutige IP-Adresse,Eine Netzwerkprotokolladresse,Eine Hardware-Adresse,Eine E-Mail-Adresse,Eine Hardware-Adresse,Eine MAC-Adresse ist eine eindeutige Kennung für Netzwerkgeräte.
Netzwerk,Welches der folgenden ist ein Netzwerkprotokoll?,HTML,SMTP,HTTP,DNS,SMTP,SMTP (Simple Mail Transfer Protocol) ist ein Netzwerkprotokoll für den E-Mail-Versand.
Netzwerk,Was ist ein VPN?,Virtual Personal Network,Very Private Network,Virtual Private Network,Very Personal Network,Virtual Private Network,Ein VPN ermöglicht eine sichere Verbindung über ein öffentliches Netzwerk.
Netzwerk,Welches Gerät wird verwendet, um ein Netzwerk zu segmentieren?,Router,Switch,Hub,Bridge,Bridge Eine Bridge segmentiert ein Netzwerk und leitet Daten zwischen den Segmenten weiter.
Netzwerk,Was ist eine Firewall?,Ein Sicherheitsmechanismus,Ein Netzwerkgerät,Ein Speichergerät,Ein Drucker,Ein Sicherheitsmechanismus,Eine Firewall schützt Netzwerke vor unautorisierten Zugriffen.
Netzwerk,Was ist ein Proxy-Server?,Ein Webserver,Ein E-Mail-Server,Ein Vermittlungsserver,Ein Datenbankserver,Ein Vermittlungsserver,Ein Proxy-Server agiert als Vermittler zwischen einem Client und einem Zielserver.
Netzwerk,Welches Protokoll wird für den Dateiübertragungsdienst verwendet?,FTP,HTTP,SMTP,DNS,FTP,FTP (File Transfer Protocol) wird für die Übertragung von Dateien verwendet.
Netzwerk,Was bedeutet die Abkürzung DHCP?,Dynamic Host Configuration Protocol,Domain Host Configuration Protocol,Dynamic Host Control Protocol,Domain Host Control Protocol,Dynamic Host Configuration Protocol,DHCP weist Geräten in einem Netzwerk automatisch IP-Adressen zu.
Netzwerk,Was ist ein Subnetz?,Ein Teilnetzwerk,Ein übergeordnetes Netzwerk,Ein IP-Adressen-Bereich,Ein Netzwerkknoten,Ein Teilnetzwerk,Ein Subnetz ist ein untergeordnetes Teilnetzwerk innerhalb eines größeren Netzwerks.
Netzwerk,Welches Protokoll wird verwendet um E-Mails vom Server abzurufen?,SMTP,FTP,POP3,HTTP,POP3,POP3 (Post Office Protocol 3) wird verwendet um E-Mails vom Server abzurufen.
Netzwerk,Was bedeutet die Abkürzung TCP/IP?,Transmission Control Protocol/Internet Protocol,Transfer Control Protocol/Internet Protocol,Transmission Configuration Protocol/Internet Protocol,Transfer Configuration Protocol/Internet Protocol,Transmission Control Protocol/Internet Protocol,TCP/IP ist eine Protokollfamilie für die Kommunikation in Netzwerken.
Netzwerk,Was ist ein Hub?,Ein Gerät zur Verbindung von Netzwerken,Ein Gerät zur Verbindung von Computern innerhalb eines Netzwerks,Ein Gerät zur Steuerung des Bildschirms,Ein Gerät zur Speicherung von Daten,Ein Gerät zur Verbindung von Computern innerhalb eines Netzwerks,Ein Hub verbindet mehrere Computer innerhalb eines Netzwerks.
Netzwerk,Was bedeutet die Abkürzung SSL?,Secure Sockets Layer,Secure System Layer,Secure Software Layer,Secure Server Layer,Secure Sockets Layer,SSL ist ein Sicherheitsprotokoll zur Verschlüsselung von Datenübertragungen im Internet.
Netzwerk,Was ist ein Load Balancer?,Ein Gerät zur Gewichtsmessung,Ein Gerät zur Lastverteilung,Ein Speichergerät,Ein Druckgerät,Ein Gerät zur Lastverteilung,Ein Load Balancer verteilt die Last auf mehrere Server um die Leistung zu optimieren.
Netzwerk,Welches Protokoll wird verwendet um Netzwerkgeräte zu verwalten?,HTTP,FTP,SNMP,DNS,SNMP,SNMP (Simple Network Management Protocol) wird zur Verwaltung von Netzwerkgeräten verwendet.
Netzwerk,Was ist ein Intranet?,Ein öffentliches Netzwerk,Ein privates Netzwerk,Ein globales Netzwerk,Ein drahtloses Netzwerk,Ein privates Netzwerk,Ein Intranet ist ein privates Netzwerk innerhalb einer Organisation.
Netzwerk,Was bedeutet die Abkürzung ICMP?,Internet Control Message Protocol,Internet Configuration Message Protocol,Internet Control Management Protocol,Internet Configuration Management Protocol,Internet Control Message Protocol,ICMP wird für Fehlermeldungen und Diagnosefunktionen verwendet.
Netzwerk,Was ist ein Ping?,Ein Netzwerkdruck,Ein Netzwerkbefehl,Ein Netzwerkgerät,Ein Netzwerkprotokoll,Ein Netzwerkbefehl,Ein Ping-Befehl testet die Erreichbarkeit eines Hosts in einem IP-Netzwerk.
Netzwerk,Was ist eine Netzwerkmaske?,Eine Schutzvorrichtung,Eine Netzwerksicherheitsmaßnahme,Ein Netzwerkkonfigurationsparameter,Ein Speichergerät,Ein Netzwerkkonfigurationsparameter,Eine Netzwerkmaske definiert die Größe eines Subnetzes in einem IP-Netzwerk.
Netzwerk,Welches Protokoll wird verwendet um Webseiten zu verschlüsseln?,HTTP,HTTPS,FTP,DNS,HTTPS,HTTPS verschlüsselt Webseiten für sichere Kommunikation.
Netzwerk,Was ist eine Portnummer?,Eine eindeutige IP-Adresse,Eine Netzwerkprotokolladresse,Eine Hardware-Adresse,Eine logische Adresse für Netzwerkdienste,Eine logische Adresse für Netzwerkdienste,Eine Portnummer identifiziert spezifische Netzwerkdienste auf einem Host.
Netzwerk,Was bedeutet die Abkürzung ARP?,Address Resolution Protocol,Address Routing Protocol,Address Registration Protocol,Address Remote Protocol,Address Resolution Protocol,ARP wandelt IP-Adressen in MAC-Adressen um.
Netzwerk,Was ist ein NAT?,Ein Speichergerät,Ein Netzwerkgerät,Ein Sicherheitsprotokoll,Ein Übersetzungsmechanismus,Ein Übersetzungsmechanismus,NAT (Network Address Translation) wandelt private IP-Adressen in öffentliche IP-Adressen um.
Netzwerk,Welches der folgenden ist eine drahtlose Netzwerkverbindung?,Ethernet,WLAN,Token Ring,Fiber,Wi-Fi,Wi-Fi (Wireless Fidelity) ist eine drahtlose Netzwerkverbindung.
Netzwerk,Was ist ein SSID?,Ein Netzwerkprotokoll,Ein Netzwerkgerät,Ein Netzwerkname,Ein Sicherheitsprotokoll,Ein Netzwerkname,SSID (Service Set Identifier) ist der Name eines drahtlosen Netzwerks.
Netzwerk,Welches Protokoll wird für den Zugriff auf entfernte Dateien verwendet?,HTTP,FTP,TFTP,IMAP,TFTP,TFTP (Trivial File Transfer Protocol) wird für den einfachen Dateiübertragungszugriff verwendet.
Netzwerk,Was ist eine DMZ in einem Netzwerk?,Ein sicherer Bereich,Ein unsicherer Bereich,Ein demilitarisierter Bereich,Ein privater Bereich,Ein demilitarisierter Bereich,Eine DMZ (Demilitarized Zone) ist ein Bereich der vom internen Netzwerk und vom öffentlichen Internet getrennt ist.
Netzwerk,Was ist ein VLAN?,Ein virtuelles Netzwerksegment,Ein öffentliches Netzwerk,Ein drahtloses Netzwerk,Ein globales Netzwerk,Ein virtuelles Netzwerksegment,Ein VLAN (Virtual Local Area Network) trennt Netzwerke logisch unabhängig von ihrer physischen Verbindung.
Netzwerk,Was bedeutet die Abkürzung BGP?,Border Gateway Protocol,Boundary Gateway Protocol,Binary Gateway Protocol,Base Gateway Protocol,Border Gateway Protocol,BGP ist ein Protokoll zum Austausch von Routing-Informationen zwischen autonomen Systemen.
Netzwerk,Was ist eine Gateway-Adresse?,Eine Hardwareadresse,Eine Netzwerkadresse,Eine IP-Adresse eines Netzwerkgeräts,Ein Netzwerkprotokoll,Eine IP-Adresse eines Netzwerkgeräts,Eine Gateway-Adresse ist die IP-Adresse eines Netzwerkgeräts das als Ausgangspunkt für den Zugriff auf andere Netzwerke dient.
Netzwerk,Welches Protokoll wird für die Auflösung von Domänennamen verwendet?,HTTP,FTP,DNS,TCP,DNS,DNS (Domain Name System) wandelt Domänennamen in IP-Adressen um.
Netzwerk,Was ist eine Broadcast-Adresse?,Eine spezifische IP-Adresse,Eine IP-Adresse für den Versand an alle Geräte im Netzwerk,Ein Netzwerkgerät,Ein Speichergerät,Eine IP-Adresse für den Versand an alle Geräte im Netzwerk,Eine Broadcast-Adresse ermöglicht die Übertragung von Nachrichten an alle Geräte in einem Netzwerksegment.
Netzwerk,Was bedeutet die Abkürzung OSPF?,Open Shortest Path First,Open Source Path First,Open Short Path First,Open Shortest Protocol First,Open Shortest Path First,OSPF ist ein Routing-Protokoll für IP-Netzwerke.
